year,crime_type,sex,age_group
2014,Sexual Violation,M,Adult
2014,Sexual Violation,M,Adult
2014,Sexual Violation,M,Adult
2014,Sexual Violation,M,Adult
2014,Sexual Violation,M,Adult
2014,Sexual Violation,M,Adult
2014,Sexual Violation,M,Child
2014,Sexual Violation,M,Unknown
2014,Sexual Violation,M,Youth
2015,Assault,F,Unknown
2015,Assault,F,Adult
2015,Assault,F,Adult
2015,Assault,F,Adult
2015,Assault,F,Adult
2015,Assault,F,Unknown
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Unknown
2015,Assault,U,Unknown
2015,Assault,F,Adult
2015,Assault,F,Unknown
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Unknown
2015,Assault,F,Adult
2015,Assault,F,Adult
2015,Assault,F,Adult
2015,Assault,F,Adult
2015,Assault,F,Adult
2015,Assault,F,Adult
2015,Assault,F,Unknown
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Unknown
2015,Assault,F,Adult
2015,Assault,F,Adult
2015,Assault,F,Adult
2015,Assault,F,Adult
2015,Assault,F,Adult
2015,Assault,F,Adult
2015,Robbery,M,Child
2015,Robbery,M,Unknown
2015,Robbery,M,Youth
2015,Robbery,U,Adult
2015,Sexual Violation,F,Adult
2015,Sexual Violation,F,Adult
2015,Sexual Violation,F,Adult
2015,Sexual Violation,F,Adult
2015,Sexual Violation,F,Adult
2015,Sexual Violation,F,Adult
2015,Sexual Violation,F,Child
2015,Sexual Violation,F,Unknown
2015,Sexual Violation,F,Youth
2015,Sexual Violation,M,Adult
2015,Sexual Violation,M,Adult
2015,Sexual Violation,M,Adult
2015,Sexual Violation,M,Adult
2015,Sexual Violation,M,Adult
2015,Sexual Violation,M,Adult
2015,Sexual Violation,M,Child
2015,Sexual Violation,M,Unknown
2015,Sexual Violation,M,Youth
2016,Assault,M,Unknown
2016,Assault,F,Adult
2016,Assault,F,Adult
2016,Assault,F,Adult
2016,Assault,F,Adult
2016,Assault,F,Unknown
2016,Assault,M,Adult
2016,Assault,M,Adult
2016,Assault,M,Adult
2016,Assault,M,Adult
2016,Assault,M,Adult
2016,Assault,M,Adult
2016,Assault,M,Unknown
2016,Assault,F,Adult
2016,Assault,F,Adult
2016,Assault,F,Unknown
2016,Assault,M,Adult
2016,Assault,M,Adult
2016,Assault,M,Unknown
2016,Assault,F,Adult
2016,Assault,F,Adult
2016,Assault,F,Adult
2016,Assault,F,Adult
2016,Assault,F,Adult
2016,Assault,F,Adult
2016,Assault,F,Unknown
2016,Assault,M,Adult
2016,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,F,Adult
2014,Assault,F,Adult
2014,Assault,F,Adult
2014,Assault,F,Adult
2014,Assault,F,Adult
2014,Assault,F,Unknown
2014,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,M,Unknown
2014,Assault,F,Adult
2014,Assault,F,Adult
2014,Assault,F,Unknown
2014,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,M,Unknown
2014,Assault,F,Adult
2014,Assault,F,Adult
2014,Assault,F,Adult
2014,Assault,F,Adult
2014,Assault,F,Unknown
2014,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,M,Unknown
2014,Assault,F,Adult
2014,Assault,F,Adult
2014,Assault,F,Adult
2014,Assault,F,Adult
2014,Assault,F,Adult
2014,Assault,F,Adult
2014,Assault,F,Child
2014,Assault,F,Unknown
2014,Assault,F,Youth
2014,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,M,Adult
2014,Assault,M,Child
2014,Assault,M,Unknown
2014,Assault,M,Youth
2014,Other,F,Adult
2014,Other,F,Adult
2014,Other,F,Adult
2014,Other,F,Adult
2014,Other,F,Adult
2014,Other,F,Adult
2014,Other,F,Child
2014,Other,F,Unknown
2014,Other,F,Youth
2014,Other,M,Adult
2014,Other,M,Adult
2014,Other,M,Adult
2014,Other,M,Adult
2014,Other,M,Adult
2014,Other,M,Adult
2014,Other,M,Child
2014,Other,M,Unknown
2014,Other,M,Youth
2014,Other,U,Unknown
2014,Robbery,F,Adult
2014,Robbery,F,Adult
2014,Robbery,F,Adult
2014,Robbery,F,Adult
2014,Robbery,F,Adult
2014,Robbery,F,Adult
2014,Robbery,F,Child
2014,Robbery,F,Unknown
2014,Robbery,F,Youth
2014,Robbery,M,Adult
2014,Robbery,M,Adult
2014,Robbery,M,Adult
2014,Robbery,M,Adult
2014,Robbery,M,Adult
2014,Robbery,M,Adult
2014,Robbery,M,Child
2014,Robbery,M,Unknown
2014,Robbery,M,Youth
2014,Robbery,U,Adult
2014,Robbery,U,Adult
2014,Robbery,U,Unknown
2014,Sexual Violation,F,Adult
2014,Sexual Violation,F,Adult
2014,Sexual Violation,F,Adult
2014,Sexual Violation,F,Adult
2014,Sexual Violation,F,Adult
2014,Sexual Violation,F,Adult
2014,Sexual Violation,F,Child
2014,Sexual Violation,F,Unknown
2014,Sexual Violation,F,Youth
2016,Assault,M,Adult
2016,Assault,M,Adult
2016,Assault,M,Adult
2016,Assault,M,Adult
2016,Assault,M,Unknown
2016,Assault,M,Youth
2016,Assault,U,Adult
2016,Assault,U,Adult
2016,Assault,U,Unknown
2016,Assault,F,Adult
2016,Assault,F,Adult
2016,Assault,F,Adult
2016,Assault,F,Adult
2016,Assault,F,Adult
2016,Assault,F,Adult
2016,Assault,F,Child
2016,Assault,F,Unknown
2016,Assault,F,Youth
2016,Assault,M,Adult
2016,Assault,M,Adult
2016,Assault,M,Adult
2016,Assault,M,Adult
2016,Assault,M,Adult
2016,Assault,M,Adult
2016,Assault,M,Child
2016,Assault,M,Unknown
2016,Assault,M,Youth
2016,Assault,U,Adult
2016,Assault,U,Adult
2016,Assault,U,Adult
2016,Assault,U,Adult
2016,Assault,U,Unknown
2016,Other,F,Adult
2016,Other,F,Adult
2016,Other,F,Adult
2016,Other,F,Adult
2016,Other,F,Adult
2016,Other,F,Adult
2016,Other,F,Child
2016,Other,F,Unknown
2016,Other,F,Youth
2016,Other,M,Adult
2016,Other,M,Adult
2016,Other,M,Adult
2016,Other,M,Adult
2016,Other,M,Adult
2016,Other,M,Adult
2016,Other,M,Child
2016,Other,M,Unknown
2016,Other,M,Youth
2017,Assault,F,Adult
2017,Assault,F,Adult
2017,Assault,F,Adult
2017,Assault,F,Adult
2017,Assault,F,Unknown
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Unknown
2017,Assault,U,Unknown
2017,Assault,F,Adult
2017,Assault,F,Unknown
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Unknown
2017,Assault,F,Adult
2017,Assault,F,Adult
2017,Assault,F,Adult
2017,Assault,F,Adult
2017,Assault,F,Adult
2017,Assault,F,Unknown
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Unknown
2017,Assault,M,Youth
2017,Assault,F,Adult
2017,Assault,F,Adult
2017,Assault,F,Adult
2017,Assault,F,Adult
2017,Assault,F,Adult
2017,Assault,F,Adult
2017,Assault,F,Child
2017,Assault,F,Unknown
2017,Assault,F,Youth
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Adult
2017,Assault,M,Adult
2015,Assault,F,Child
2015,Assault,F,Unknown
2015,Assault,F,Youth
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Adult
2015,Assault,M,Child
2015,Assault,M,Unknown
2015,Assault,M,Youth
2015,Assault,U,Adult
2015,Assault,U,Adult
2015,Other,F,Adult
2015,Other,F,Adult
2015,Other,F,Adult
2015,Other,F,Adult
2015,Other,F,Adult
2015,Other,F,Adult
2015,Other,F,Child
2015,Other,F,Unknown
2015,Other,F,Youth
2015,Other,M,Adult
2015,Other,M,Adult
2015,Other,M,Adult
2015,Other,M,Adult
2015,Other,M,Adult
2015,Other,M,Adult
2015,Other,M,Child
2015,Other,M,Unknown
2015,Other,M,Youth
2015,Other,U,Adult
2015,Other,U,Adult
2015,Other,U,Unknown
2015,Robbery,F,Adult
2015,Robbery,F,Adult
2015,Robbery,F,Adult
2015,Robbery,F,Adult
2015,Robbery,F,Adult
2015,Robbery,F,Adult
2015,Robbery,F,Child
2015,Robbery,F,Unknown
2015,Robbery,F,Youth
2015,Robbery,M,Adult
2015,Robbery,M,Adult
